name,price,socket,ram_type,ram_slots_count
MSI B450-A Pro,6299,18,2,4
MSI B450I Gaming Plus AC,8536,18,2,4
MSI B450M Bazooka,5389,18,2,4
MSI B450M Bazooka Plus,0,18,2,4
MSI B450M Mortar,0,18,2,4
"MSI B450M Mortar Max, AMD B450-, socket AM4",0,18,2,4
MSI B450M Mortar Titanium,0,18,2,4
"MSI B450M Pro-VDH Max, AMD B450-, socket AM4",5249,18,2,4
MSI H110M Pro-VD,0,6,2,2
MSI H270M Mortar ARCTIC,0,6,2,4
"MSI MAG B365M Mortar, socket 1151",0,6,2,4
MSI MAG B660M MORTAR WIFI DDR4,12599,9,2,4
MSI MAG X570 Tomahawk WiFi,0,18,2,4
MSI MAG Z690 Tomahawk WiFi,0,9,3,4
MSI MAG Z690 Tomahawk WiFi DDR4,0,9,2,4
MSI MAG Z690 Torpedo,0,9,3,4
MSI MEG Z490 Unify,0,8,2,4
MSI PRO B660-A DDR4,10499,9,2,4
MSI Pro B760M-E DDR4,0,9,2,2
MSI Pro B760M-P DDR4,0,9,2,4
MSI Pro Z690-A,0,9,3,4
MSI Pro Z690-A DDR4,13299,9,2,4
MSI Pro Z690-A WiFi DDR4,0,9,2,4
MSI X399 Gaming Pro Carbon AC,16239,19,2,8
MSI Z170-A Pro,0,6,2,4
MSI Z170A Gaming M7,0,6,2,4
MSI Z170A PC Mate,0,6,2,4
MSI Z270 Gaming PLUS,0,6,2,4
MSI Z270 Gaming Pro Carbon,0,6,2,4
MSI Z270 KRAIT Gaming,0,6,2,4
MSI Z270 PC MATE,0,6,2,4
MSI Z270 SLI PLUS,0,6,2,4
MSI Z270 Tomahawk,0,6,2,4
MSI Z270 Xpower Gaming Titanium,0,6,2,4
MSI Z270-A Pro,0,6,2,4
MSI Z370 Gaming Plus,0,6,2,4
MSI Z370 SLI Plus,0,6,2,4
MSI Z370-A Pro,4409,6,2,4
MSI Z490I Unify,0,8,2,2
MSI Z490M Gaming Edge WiFi,0,8,2,4
ASRock 760GM-HDV,3919,13,1,2
ASRock 970 Extreme3 R2.0,0,13,1,4
ASRock 970 Extreme4,0,13,1,4
ASRock 970A-G/3.1 970,0,13,1,4
ASRock 970M Pro3,4549,13,1,4
ASRock 990FX Extreme3,0,13,1,4
ASRock 990FX Extreme6,0,13,1,4
ASRock A320M,3779,18,2,2
ASRock A320M Pro4,4549,18,2,4
ASRock A320M Pro4 R2.0,0,18,2,4
ASRock A320M Pro4-F,0,18,2,4
ASRock A320M-DGS,3499,18,2,2
ASRock A320M-HDV,3779,18,2,2
ASRock A520M Pro4,5249,18,2,4
ASRock A520M-HDV,4409,18,2,2
ASRock A520M-HVS,0,18,2,2
ASRock A520M-ITX/AC,7349,18,2,2
"ASRock AB350 Pro4 BTC, AMD B350",5809,18,2,4
ASRock AB350M,0,18,2,4
"ASRock AB350M Pro4, AMD B350",4199,18,2,4
ASRock AB350M-HDV,0,18,2,2
ASRock AB350M-HDV R3.0,0,18,2,2
"ASRock AB350M-HDV R4.0, AMD B350",0,18,2,2
ASRock AM1H-ITX,0,17,1,2
ASRock B150M-HDS,0,6,2,2
ASRock B250M Pro4,5917,6,2,4
ASRock B250M-HDV,4059,6,2,2
ASRock B360 Gaming K4 Fatal1ty,8399,6,2,4
ASRock B360M-HDV,5249,6,2,2
"ASRock B450 Gaming ITX/ac, AMD B450",9099,18,2,2
"ASRock B450 Gaming K4, AMD B450",6999,18,2,4
"ASRock B450 Pro 4, AMD B450",6299,18,2,4
ASRock B450 Steel Legend,0,18,2,4
"ASRock B450M Pro4, AMD B450",5809,18,2,4
ASRock B450M Pro4-F,4759,18,2,4
ASRock B450M-HDV,4549,18,2,2
"ASRock B450M-HDV R4.0, AMD B450",5039,18,2,2
ASRock B460 Phantom Gaming 4,6299,8,2,4
ASRock B460 Pro4,6999,8,2,4
ASRock B460 Steel Legend,8399,8,2,4
ASRock B460M Pro4,6509,8,2,4
ASRock B460M Steel Legend,8189,8,2,4
ASRock B460M-HDV,5249,8,2,2
ASRock B460M-ITX/ac,6649,8,2,2
ASRock B550 Extreme4,12949,18,2,4
ASRock B550 PG Riptide,0,18,2,4
ASRock B550 PG Velocita,8329,18,2,4
ASRock B550 Phantom Gaming 4,5949,18,2,4
ASRock B550 Phantom Gaming-ITX/ax,11689,18,2,2
ASRock B550 Pro4,6859,18,2,4
ASRock B550 Steel Legend,8959,18,2,4
ASRock B550 Taichi,11339,18,2,4
ASRock B550M Pro4,6859,18,2,4
ASRock B550M-HDV,5599,18,2,2
ASRock B550M-ITX/ac,9099,18,2,2
ASRock B560 Pro4,8609,8,2,4
ASRock B560 Steel Legend,10149,8,2,4
ASRock B560M Pro4,0,8,2,4
ASRock B560M Steel Legend,7699,8,2,4
ASRock B560M-HDV,0,8,2,2
ASRock B560M-ITX/ac,0,8,2,2
ASRock B650 Live Mixer,16099,22,3,4
ASRock B650E PG Riptide WIFI,16799,22,3,4
ASRock B650E PG-ITX WIFI,20299,22,3,4
ASRock B650E Steel Legend WIFI,18899,22,3,4
ASRock B650E Taichi,25899,22,3,4
ASRock B660 Pro RS,6789,9,2,4
ASRock B660 Steel Legend,8399,9,2,4
ASRock B660M Pro RS,7770,9,2,4
ASRock B660M Steel Legend,8959,9,2,4
ASRock B660M-HDV,5739,9,2,4
ASRock B660M-ITX/ac,7139,9,2,4
ASRock C236 WSI 2xLAN/SATA600/USB3.0/DP/HDMI/VGA Mini ITX,13299,6,2,2
ASRock C236M WS 2xLAN/SATA600/USB3.0/DP/HDMI/VGA,15642,6,2,4
ASRock E3V5 WS SATA600/USB3.0 C232,8399,6,2,4
ASRock Fatal1ty 990FX Killer,0,13,1,4
ASRock Fatal1ty 990FX Killer/3.1,0,13,1,4
ASRock Fatal1ty AB350 Gaming K4,7405,18,2,4
"ASRock Fatal1ty AB350 Gaming-ITX/ac, AMD B350",7993,18,2,2
ASRock Fatal1ty B250 Gaming K4,8416,6,2,4
ASRock Fatal1ty E3V5 Performance Gaming/OC,10009,6,2,4
ASRock Fatal1ty FM2A88X+ Killer,0,16,1,4
ASRock Fatal1ty H270 Performance,9825,6,2,4
ASRock Fatal1ty H270M Performance,9099,6,2,4
ASRock Fatal1ty X299 Professional Gaming i9 XE,31573,7,2,8
"ASRock Fatal1ty X370 Gaming-ITX/ac, AMD X370",5809,18,2,2
"ASRock Fatal1ty X470 Gaming-ITX/ac, AMD X470",7699,18,2,2
ASRock Fatal1ty Z170 Gaming K4,8399,6,2,4
ASRock Fatal1ty Z170 Gaming K6+,0,6,2,4
ASRock Fatal1ty Z270 Gaming K4,9799,6,2,4
ASRock Fatal1ty Z270 Gaming K6,0,6,2,4
ASRock Fatal1ty Z270 Gaming-ITX/ac,0,6,2,2
"ASRock Fatal1ty Z270 Professional Gaming i7, Intel Z270",0,6,2,4
ASRock Fatal1ty Z370 Gaming ITX/ac,11543,6,2,2
ASRock Fatal1ty Z370 Gaming K6,15400,6,2,4
ASRock Fatal1ty Z370 Professional Gaming i7,0,6,2,4
ASRock FM2A58+ BTC,0,16,1,4
ASRock FM2A88X Extreme4+,0,16,1,4
ASRock FM2A88X Extreme6+,0,16,1,4
ASRock FM2A88X+ BTC Bitcoin GL/SATA600/USB3.0/DVI/VGA,0,16,1,4
ASRock G41M-VS3 R2.0 IDE(PATA)/SATA/USB2.0/VGA G41 GMA X4500,0,0,1,2
ASRock H110 PRO BTC+,6999,6,2,2
ASRock H170 PRO4,6649,6,2,4
ASRock H170M PRO4,0,6,2,4
ASRock H170M-ITX/AC,0,6,2,2
ASRock H270 Pro 4,0,6,2,4
ASRock H270M Pro4,6930,6,2,4
ASRock H270M-ITX/ac,0,6,2,2
ASRock H310M-DGS,3834,6,2,2
ASRock H310M-HDV/M.2,5001,6,2,2
ASRock H310M-ITX/AC,7909,6,2,2
ASRock H370 Performance Fatal1ty,7349,6,2,4
ASRock H370 Pro4,6299,6,2,4
ASRock H370M Pro4,6691,6,2,4
ASRock H370M-ITX/AC,7699,6,2,2
ASRock H410M-HDV,4199,8,2,2
ASRock H410M-HDV/M.2,4549,8,2,2
ASRock H410M-HVS,0,8,2,2
