name,price,voltage
Akasa,0,90
Akasa 80 Watt DC-DC-Wandlerplatine 12 V,0,80
Akasa externes Mini-ITX Systeme 12V,0,84
Akasa PD150-02K externes,0,150
Antec EAG Pro 550W 80 PLUS Gold,0,550
Antec EAG Pro 650W 80 PLUS Gold,0,650
Antec EAG Pro 750W 80 PLUS Gold,0,750
Antec EDGE EDG550,0,550
Antec EDGE EDG650,0,650
Antec EDGE EDG750,0,750
Antec High Current Gamer,6999,520
Antec High Current Gamer,6999,620
Antec High Current Gamer HCG-620M,0,620
Antec High Current Gamer HCG-750M,0,750
Antec High Current Gamer HCG-850M,0,850
Antec High Current Gamer HCG650 80 PLUS Gold,0,650
Antec High Current Gamer HCG750 80 PLUS Gold,0,750
Antec High Current Gamer HCG850 80Plus Gold,0,850
Antec High Current Pro HCP-1000 Platinum,0,1000
Antec High Current Pro HCP-1300 Platinum,0,1300
Antec High Current Pro HCP-850 Platinum,0,850
Antec NE450M EC Semi Modular,0,450
Antec NE550M EC Semi Modular,0,550
Antec NE650M EC Semi Modular,0,650
Antec True Power TP550C,0,550
Antec True Power TP650C,0,650
Antec True Power TP750C,0,750
Antec VP Strictly Power,0,450
ASUS ROG Strix 1000G,0,1000
ASUS ROG Strix 550G 80 PLUS Gold,0,550
ASUS ROG Strix 650G 80 PLUS Gold,0,650
ASUS ROG Strix 750G 80 PLUS Gold,0,750
ASUS ROG Thor 80 PLUS Platinum,0,850
ASUS ROG Thor 80 PLUS Platinum,0,1200
ASUS TUF Gaming 650B 80 PLUS Bronze,0,650
be quiet! Dark Power 12,0,1000
be quiet! Dark Power 12,0,850
be quiet! Dark Power 12,0,750
be quiet! Dark Power Pro 12,0,1200
be quiet! Dark Power Pro 12,0,1500
be quiet! Dark Power Pro P11 modular,0,650
be quiet! Dark Power Pro P11 modular,0,550
be quiet! Power Zone,0,1000
be quiet! Power Zone,0,850
be quiet! Power Zone 80 PLUS Bronze,0,650
be quiet! Power Zone 80 PLUS Bronze,0,750
be quiet! Pure Power 10,0,700
be quiet! Pure Power 10,0,600
be quiet! Pure Power 10,0,400
be quiet! Pure Power 10,0,350
be quiet! Pure Power 10,0,300
be quiet! Pure Power 10,0,500
be quiet! Pure Power 10 CM,0,700
be quiet! Pure Power 10 CM,0,600
be quiet! Pure Power 10 CM,0,400
be quiet! Pure Power 10 CM,0,500
be quiet! Pure Power 11 FM,0,1000
be quiet! Pure Power 11 FM,0,850
be quiet! Pure Power 11 FM,0,650
be quiet! Pure Power 11 FM,0,550
be quiet! Pure Power 11 FM,0,750
be quiet! SFX Power 2 80 PLUS Bronze,0,300
be quiet! SFX Power 2 80 PLUS Bronze,0,400
be quiet! SFX Power 3,0,300
be quiet! SFX Power 3,0,450
be quiet! SFX-L Power,0,600
be quiet! SFX-L Power,0,500
be quiet! SFX-L Power 80 PLUS Gold,0,500
be quiet! SFX-L Power 80 PLUS Gold,0,600
be quiet! Straight Power 10,0,700
be quiet! Straight Power 10,0,600
be quiet! Straight Power 10,0,500
be quiet! Straight Power 10,0,400
be quiet! Straight Power 10 CM,0,600
be quiet! Straight Power 10 CM,0,700
be quiet! Straight Power 10 CM,0,800
be quiet! Straight Power 10 CM,0,500
be quiet! Straight Power 11,0,850
be quiet! Straight Power 11,0,1200
be quiet! Straight Power 11,0,1000
be quiet! Straight Power 11,0,750
be quiet! Straight Power 11,0,650
be quiet! Straight Power 11,0,550
be quiet! Straight Power 11 80 PLUS Gold,0,450
be quiet! Straight Power 11 80 PLUS Gold,0,650
be quiet! Straight Power 11 80 PLUS Gold,0,550
be quiet! Straight Power 11 80 PLUS Gold,9309,750
be quiet! System Power 8,0,600
be quiet! System Power 8,0,400
be quiet! System Power 8,0,500
be quiet! System Power 9 80 PLUS Bronze,0,400
be quiet! System Power 9 80 PLUS Bronze,0,500
be quiet! System Power 9 80 PLUS Bronze,0,600
be quiet! System Power 9 80 PLUS Bronze,0,700
be quiet! System Power 9 CM,0,600
be quiet! System Power 9 CM,0,700
be quiet! System Power 9 CM,0,500
be quiet! System Power 9 CM,0,400
be quiet! System Power B8,0,300
be quiet! System Power B8,0,550
be quiet! System Power B8,0,450
be quiet! System Power B8,0,350
be quiet! System Power B9 80 PLUS Bronze,0,300
be quiet! System Power B9 80 PLUS Bronze,0,350
be quiet! System Power B9 80 PLUS Bronze,0,450
be quiet! System Power B9 80 PLUS Bronze,0,600
be quiet! TFX Power 2 80 PLUS Bronze,0,300
be quiet! TFX Power 2 80 PLUS Gold,0,300
be quiet! TFX Power 3,0,300
be quiet! TFX Power 3,0,300
BitFenix Formula 80 PLUS Gold,4694,750
BitFenix Whisper M 80 PLUS Gold,0,750
Chieftec A-90 Serie GDP-550C 90 Plus Gold,0,550
Chieftec A-90 Serie GDP-650C 90 Plus Gold,0,650
Chieftec A-90 Serie GDP-750C 90 Plus Gold,0,750
Chieftec CDP-085ITX 85 Watt AC-DC Adapter inkl. Wandlerplatine,0,85
Chieftec CDP-120ITX 120 Watt AC-DC Adapter inkl. Wandlerplatine,0,120
Chieftec CSN-550C SFX,0,550
Chieftec CSN-650C SFX,0,650
Chieftec Force CPS-400S,0,400
Chieftec Force CPS-500S,0,500
Chieftec Force CPS-650S,0,650
Chieftec Force CPS-750S,0,750
Chieftec IArena Serie GPA-350B8,0,350
Chieftec IArena Serie GPA-350S8,0,350
Chieftec IArena Serie GPA-400B8,0,400
Chieftec IArena Serie GPA-400S8,0,400
Chieftec IArena Serie GPA-450B8,0,450
Chieftec IArena Serie GPA-450S8,0,450
Chieftec IArena Serie GPA-500S8,0,500
Chieftec IArena Serie GPB-300S,0,300
Chieftec IArena Serie GPB-350S,0,350
Chieftec IArena Serie GPB-400S,0,400
Chieftec IArena Serie GPB-450S,0,450
Chieftec IArena Serie GPB-500S,0,500
Chieftec MRG-5800V redundantes 80 PLUS - 2x 800 Watt,0,800
Chieftec MRG-6500P - 2x 500 Watt,0,500
Chieftec MRT-5320G redundantes 80 PLUS Gold - 2x 320 Watt,0,320
Chieftec Navitas,0,1250
Chieftec Navitas 80 PLUS Gold,0,1000
Chieftec Navitas Serie GPM-450S,0,450
Chieftec Navitas Serie GPM-550S,0,550
Chieftec Navitas Serie GPM-650S,0,650
Chieftec Navitas Serie GPM-750S,0,750
Chieftec Power Smart 80 PLUS Gold,0,1250
Chieftec Power Smart 80 PLUS Gold,0,1450
Chieftec Power Smart 80 PLUS Gold,0,1350
Chieftec PSF-400B 80 PLUS Bronze,0,400
Chieftec Smart Serie GPS-400A8,0,400
Chieftec Smart Serie GPS-500A8,0,500
Chieftec Smart Serie GPS-600A8,0,600
Chieftec Smart Serie GPS-700A8,0,700
Chieftec Smart Serie SFX-350BS,0,350
Chieftec Smart Serie SFX-450BS,0,450
Chieftec Smart Serie SFX-500GD-C,0,500
Chieftec Smart Series TFX 250P 80 PLUS Bronze,0,250
Cooler Master MasterWatt,0,550
Cooler Master MasterWatt 80 PLUS-Bronze,0,750
Cooler Master MasterWatt 80 PLUS-Bronze,0,650
Corsair AX1000 High Performance,0,1000
Corsair AX1500i Digital ATX Power Supply,31499,1500
Corsair AX760i Digital ATX Power Supply,16099,760
Corsair AX850 High Performance,0,850
Corsair Builder Series CX450,0,450
Corsair Builder Series CX450M Modular,0,450
Corsair Builder Series CX500,0,500
Corsair Builder Series CX550,0,550
Corsair Builder Series CX550M Modular,0,550
Corsair Builder Series CX600,0,600
Corsair Builder Series CX650,0,650
Corsair Builder Series CX650M Modular,0,650
Corsair Builder Series CX750,0,750
Corsair Builder Series CX750 Rev. 2,0,750
Corsair Builder Series CX750M Modular,0,750
Corsair Builder Series CX850M Modular,0,850
Corsair CS-M Series CS550M Modular,0,550
Corsair CS-M Series CS650M Modular,0,650
Corsair CS-M Series CS750M Modular,0,750
Corsair CS-M Series CS850M Modular,0,850
Corsair CV Series CV450,0,450
Corsair CV Series CV550,0,550
Corsair CV Series CV650,0,650
Corsair CV Series CV650 Dual EPS,0,650
Corsair CX550F RGB,0,550
Corsair CX550F RGB,0,550
Corsair CX550M,5105,550
Corsair CX650,5402,650
Corsair CX650F RGB,0,650
Corsair CX650F RGB,0,650
Corsair CX650M,3359,650
Corsair CX750,6136,750
Corsair CX750F RGB,0,750
Corsair CX750F RGB,0,750
Corsair CX750M,3709,750
Corsair CX850M,6159,850
Corsair HX1000,17849,1000
Corsair HX1000 High Performance,0,1000
Corsair HX1000i High Performance,0,1000
Corsair HX1000i High-Performance ATX Power Supply,18404,1000
Corsair HX1200 High Performance,0,1200
Corsair HX1200i High Performance,0,1200
Corsair HX750,10149,750
Corsair HX750 High Performance,0,750
Corsair HX750i High Performance,0,750
Corsair HX750i High-Performance ATX Power Supply,13649,750
Corsair HX850,11199,850
Corsair HX850 High Performance,0,850
Corsair HX850i High Performance,0,850
Corsair HX850i High-Performance ATX Power Supply,15749,850
