name;price;v_ram_size;frequency
Sapphire Nitro+ Radeon RX 5700 XT BE;0;8;1980
Sapphire Nitro+ Radeon RX 580 4G;12599;4;1411
Sapphire Nitro+ Radeon RX 580 8G;13999;8;1411
Sapphire Nitro+ Radeon RX 580 8G Limited Edition;0;8;1450
Sapphire Nitro+ Radeon RX 580 8G Special Edition;23099;8;1430
Sapphire Nitro+ Radeon RX 590 8G 50th Anniversary;16508;8;1560
Sapphire Nitro+ Radeon RX 590 8G G;0;8;1560
Sapphire Nitro+ Radeon RX 590 8G OC;0;8;1560
Sapphire Nitro+ Radeon RX 590 8G Special Edition;14699;8;1560
Sapphire Nitro+ Radeon RX 7900 XTX Vapor-X;0;24;0
Sapphire Nitro+ Radeon RX Vega 56;41999;8;1550
Sapphire Nitro+ Radeon RX Vega 64;57824;8;1580
Sapphire Pulse Radeon RX 550 2G;0;2;0
Sapphire Pulse Radeon RX 550 4G;6999;4;0
Sapphire Pulse Radeon RX 5500 XT;0;4;1845
Sapphire Pulse Radeon RX 5500 XT;16099;8;1845
Sapphire Pulse Radeon RX 560 14CU 2G;0;2;1266
Sapphire Pulse Radeon RX 560 16CU 2G;0;2;1300
Sapphire Pulse Radeon RX 560 16CU 4G;0;4;1300
Sapphire Pulse Radeon RX 5600 XT;20999;6;1620
Sapphire Pulse Radeon RX 570 4G;9799;4;1284
Sapphire Pulse Radeon RX 570 Mini 4G;13999;4;1244
Sapphire Pulse Radeon RX 5700;23799;8;1750
Sapphire Pulse Radeon RX 5700 XT;27999;8;1925
Sapphire Pulse Radeon RX 5700 XT BE;0;8;1925
Sapphire Pulse Radeon RX 580 4G;13857;4;0
Sapphire Pulse Radeon RX 580 8G;16799;8;1366
Sapphire Pulse Radeon RX 6400 Gaming;0;4;2321
Sapphire Pulse Radeon RX 6700 XT Gaming;0;12;2581
Sapphire Pulse Radeon RX Vega 56;25830;8;1512
Sapphire R7 260X ;0;2;1050
Sapphire R7 370 Nitro;0;4;985
Sapphire R9 290;0;4;947
Sapphire R9 290X Tri-X OC;0;4;1040
Sapphire R9 Fury Nitro;0;4;1020
Sapphire R9 Nano;0;4;1000
Sapphire R9 Nitro 390;0;8;1040
Sapphire Radeon HD 5770 Eyefinity;0;1;800
Sapphire Radeon HD 5870 Toxic;0;2;925
Sapphire Radeon HD 5970;0;2;725
Sapphire Radeon HD 6850;0;1;725
Sapphire Radeon HD 6950;0;2;800
Sapphire Radeon HD 6970 Dual Fan;0;2;880
Sapphire Radeon HD 6990;0;2;830
Sapphire Radeon RX 460 2G;0;2;1210
Sapphire Radeon RX 460 Nitro 4G;0;4;1250
Sapphire Radeon RX 5700;23099;8;1725
Sapphire Radeon RX 5700 XT;27999;8;1905
Sapphire Radeon RX 7900 XT Gaming;0;20;2400
Sapphire Radeon RX Vega 56;0;8;0
Sapphire Radeon RX Vega 64;0;8;0
Sapphire Radeon RX Vega 64 Liquid Cooling;0;8;0
Sapphire Radeon VII;48999;16;1750
Sapphire Toxic Radeon RX 6900 XT AIO Cooled;105676;16;2365
XFX Double D HD 7850;0;2;860
XFX HD 7750;0;1;800
XFX HD 7790 OC;0;1;1075
XFX Radeon RX 460 Dual Fan;0;4;1220
XFX Radeon RX 460 Dual Fan;0;2;1220
XFX Radeon RX 460 Passive Heatsink Edition;0;2;1220
XFX Radeon RX 460 Passive Heatsink Edition;0;4;1220
XFX Radeon RX 460 Single Fan;0;2;1220
XFX Radeon RX 460 Single Fan;8971;4;1220
XFX Radeon RX 460 Single Slot;0;2;1220
XFX Radeon RX 460 Single Slot;0;4;1220
XFX Radeon RX 550 Single Fan;6775;2;0
XFX Radeon RX 550 Single Fan;8320;4;0
XFX Radeon RX 570 RS Core Edition;18199;4;0
XFX Radeon RX 580 GTR-S Black Edition;0;8;1450
XFX Radeon RX 580 GTS Black Edition;15328;8;1425
XFX Radeon RX 580 GTS Core Edition;10499;8;1386
XFX Radeon RX 580 GTS Core Edition;16118;4;1386
ZOTAC GAMING GeForce GTX 1650 OC, 4096 MB GDDR5;10009;4;1695
ZOTAC GAMING GeForce GTX 1650 Super Twin Fan;11199;4;1725
ZOTAC GAMING GeForce GTX 1660 AMP! Edition;16799;6;1845
ZOTAC GAMING GeForce GTX 1660 Super AMP! Edition;17499;6;0
ZOTAC GAMING GeForce GTX 1660 Super Twin Fan;24499;6;1785
ZOTAC GAMING GeForce GTX 1660 Ti;19599;6;1770
ZOTAC GAMING GeForce GTX 1660 Ti AMP!;20299;6;1860
ZOTAC GAMING GeForce GTX 1660 Twin Fan;16099;6;1785
ZOTAC GAMING GeForce RTX 2060;27533;6;1650
ZOTAC GAMING GeForce RTX 2060 AMP! Edition;25522;6;1800
ZOTAC GAMING GeForce RTX 2060 Super AMP! Edition;28629;8;1680
ZOTAC GAMING GeForce RTX 2060 Super AMP! Extreme Edition;30799;8;1680
ZOTAC GAMING GeForce RTX 2060 Super Mini Edition;29399;8;1650
ZOTAC GAMING GeForce RTX 2060 Twin Fan;24499;6;1680
ZOTAC GAMING GeForce RTX 2070 AMP! Edition;34999;8;0
ZOTAC GAMING GeForce RTX 2070 Super AMP! Edition;34999;8;1800
ZOTAC GAMING GeForce RTX 2070 Super AMP! Extreme Edition;0;8;1830
ZOTAC GAMING GeForce RTX 2070 Super Edition;34999;8;1800
ZOTAC GAMING GeForce RTX 2070 Super Mini Edition;34999;8;1770
ZOTAC GAMING GeForce RTX 2080 AMP! Edition;44799;8;0
ZOTAC GAMING GeForce RTX 2080 Blower;65435;8;0
ZOTAC GAMING GeForce RTX 2080 Super AMP;46619;8;1825
ZOTAC GAMING GeForce RTX 2080 Super AMP Extreme;0;8;1875
ZOTAC GAMING GeForce RTX 2080 Super Triple Fan;48999;8;1815
ZOTAC GAMING GeForce RTX 2080 Super Twin Fan;48579;8;1815
ZOTAC GAMING GeForce RTX 2080 Ti AMP! Edition;86449;11;1665
ZOTAC GAMING GeForce RTX 2080 Ti Arctic Storm. 11264 MB GDDR6;0;11;1575
ZOTAC GAMING GeForce RTX 2080 Ti Blower;125996;11;1545
ZOTAC GAMING GeForce RTX 2080 Ti Triple Fan;0;11;0
ZOTAC GAMING GeForce RTX 2080 Ti Twin Fan;80109;11;1545
ZOTAC GAMING GeForce RTX 3080 AMP Holo LHR;0;12;0
ZOTAC GAMING GeForce RTX 3080 AMP! Extreme Holo LHR;0;12;0
ZOTAC GAMING GeForce RTX 3080 Trinity LHR;0;12;0
ZOTAC GAMING GeForce RTX 3080 Trinity OC LHR;0;12;0
ZOTAC Gaming GeForce RTX 4070 Ti AMP Extreme Airo;61599;12;2700
ZOTAC Gaming GeForce RTX 4070 Ti Trinity;0;12;2610
ZOTAC Gaming GeForce RTX 4070 Ti Trinity OC;58099;12;2625
ZOTAC Gaming GeForce RTX 4080 AMP! Extreme Airo;86099;16;2565
ZOTAC Gaming GeForce RTX 4080 Trinity;0;16;2505
ZOTAC Gaming GeForce RTX 4080 Trinity OC;83930;16;2520
ZOTAC GeForce GT 1030;6999;2;1468
ZOTAC GeForce GTX 1050 Mini;11899;2;1455
ZOTAC GeForce GTX 1050 Ti Mini;10499;4;1417
ZOTAC GeForce GTX 1050 Ti OC;14889;4;1506
ZOTAC GeForce GTX 1060 AMP! Edition;20019;6;1771
ZOTAC GeForce GTX 1060 AMP!+ 9 Gbps;0;6;1835
ZOTAC GeForce GTX 1060 Mini;11899;3;1708
ZOTAC GeForce GTX 1060 Mini;11899;6;1708
ZOTAC GeForce GTX 1070 AMP! Extreme Edition;41535;8;1835
ZOTAC GeForce GTX 1070 Founders Edition;0;8;1683
ZOTAC GeForce GTX 1070 Mini;21699;8;1708
ZOTAC GeForce GTX 1070 Ti AMP! Edition;31759;8;1683
ZOTAC GeForce GTX 1070 Ti AMP! Extreme Edition;32125;8;1683
ZOTAC GeForce GTX 1070 Ti Mini;29537;8;1683
ZOTAC GeForce GTX 1080 AMP! Extreme Edition;0;8;1911
ZOTAC GeForce GTX 1080 AMP! Extreme+ 11 Gbps;43323;8;1911
ZOTAC GeForce GTX 1080 Founders Edition;38499;8;1733
ZOTAC GeForce GTX 1080 Mini;44099;8;1759
ZOTAC GeForce GTX 1080 Ti AMP! Edition;50399;11;1683
ZOTAC GeForce GTX 1080 Ti AMP! Extreme Core;48999;11;1721
ZOTAC GeForce GTX 1080 Ti AMP! Extreme Edition;59499;11;1759
ZOTAC GeForce GTX 1080 Ti Arctic Storm;0;11;1620
ZOTAC GeForce GTX 1080 Ti Arctic Storm Mini;0;11;1620
ZOTAC GeForce GTX 1080 Ti Blower;0;11;1582
ZOTAC GeForce GTX 1080 Ti Founders Edition;0;11;1582
ZOTAC GeForce GTX 1080 Ti Mini;56699;11;1620
